Price,Quantity,Type
0.00214010,6.03000000,Bid
0.00214000,199.00000000,Bid
0.00213990,0.22000000,Bid
0.00213980,0.07000000,Bid
0.00213970,4.24000000,Bid
0.00215260,15.31000000,Ask
0.00215280,22.70000000,Ask
0.00215290,12.23000000,Ask
0.00215300,3.47000000,Ask
0.00215310,46.47000000,Ask
0.00215320,78.85000000,Ask
0.00215330,331.33000000,Ask
0.00215340,185.82000000,Ask
0.00215350,2.39000000,Ask
0.00215360,81.00000000,Ask
0.00215400,2.18000000,Ask
0.00215410,130.00000000,Ask
0.00215430,111.78000000,Ask
0.00215440,145.28000000,Ask
0.00215450,168.81000000,Ask
0.00215460,37.34000000,Ask
0.00215480,35.83000000,Ask
0.00215490,125.63000000,Ask
0.00215500,2.61000000,Ask
0.00215540,111.69000000,Ask
0.00215550,203.67000000,Ask
0.00215570,125.64000000,Ask
0.00215580,40.88000000,Ask
0.00215590,122.06000000,Ask
0.00215610,26.10000000,Ask
0.00215620,494.71000000,Ask
0.00215630,206.45000000,Ask
0.00215640,3.73000000,Ask
0.00215680,3.59000000,Ask
0.00215690,2.51000000,Ask
0.00215710,0.24000000,Ask
0.00215720,57.65000000,Ask
0.00215730,1.86000000,Ask
0.00215770,1.73000000,Ask
0.00215780,71.67000000,Ask
0.00215820,1.00000000,Ask
0.00215830,41.80000000,Ask
0.00215840,2.15000000,Ask
0.00215850,51.70000000,Ask
0.00215860,2.87000000,Ask
0.00215870,3.60000000,Ask
0.00215890,2.80000000,Ask
0.00215900,2.94000000,Ask
0.00215920,3.41000000,Ask
0.00215940,400.50000000,Ask
0.00215950,2.29000000,Ask
0.00215960,1.38000000,Ask
0.00215970,2.19000000,Ask
0.00216000,25.50000000,Ask
0.00216040,3.62000000,Ask
0.00216060,139.20000000,Ask
0.00216070,1.69000000,Ask
0.00216080,4.42000000,Ask
0.00216100,0.50000000,Ask
0.00216120,0.05000000,Ask
0.00216130,3.26000000,Ask
0.00216160,2.69000000,Ask
0.00216170,1.38000000,Ask
0.00216180,1.25000000,Ask
0.00216190,0.15000000,Ask
0.00216200,1.00000000,Ask
0.00216210,176.35000000,Ask
0.00216220,2.72000000,Ask
0.00216230,0.50000000,Ask
0.00216240,2.94000000,Ask
0.00216250,0.07000000,Ask
0.00216260,0.05000000,Ask
0.00216270,3.29000000,Ask
0.00216280,1.91000000,Ask
0.00216310,3.11000000,Ask
0.00216350,1.54000000,Ask
0.00216390,0.90000000,Ask
0.00216440,0.55000000,Ask
0.00216470,140.02000000,Ask
0.00216480,0.51000000,Ask
0.00216490,2.66000000,Ask
0.00216500,4.31000000,Ask
0.00216510,1.54000000,Ask
0.00216520,8.29000000,Ask
0.00216530,0.16000000,Ask
0.00216540,2.44000000,Ask
0.00216550,1.68000000,Ask
0.00216560,1.46000000,Ask
0.00216570,3.68000000,Ask
0.00216580,8.75000000,Ask
0.00216590,1.25000000,Ask
0.00216600,1.60000000,Ask
0.00216610,0.42000000,Ask
0.00216620,0.42000000,Ask
0.00216630,0.05000000,Ask
0.00216640,0.28000000,Ask
0.00216650,0.92000000,Ask
0.00216660,1.43000000,Ask
0.00216670,0.15000000,Ask
0.00216680,0.48000000,Ask
0.00216690,422.68000000,Ask
0.00216700,5.17000000,Ask
0.00216710,1.92000000,Ask
0.00216730,6.51000000,Ask
0.00216740,0.10000000,Ask
